text,gender
@HeatherMorriss like I told @blackeyedmarti it's the selfless acts that stood out for me both of you are doing great things,female
TOTAL FAIL! The Funniest People at Walmart https://t.co/vEz50al3V8 https://t.co/KqdI1u8WEI,female
"BBK conditions at 15:39 EDT: Temp: 59 F, DewPT: 30F,  Pressure: 30.36 in-HG, Wind gust: 4.0 mph from the NNE, Daily rainfall: 0.0 in",male
@TittyCityClay now I have the dirtymax and this https://t.co/jhcL8vHNGJ,male
I obsess over my boyfriend and I'm not sorry cause if you were the one dating him u would too,female
The stigma against medication needs to stop.,female
@WWENetwork @WWE @reymysterio Holy Crap that gif brought back memories. Gotta go watch the full thing and more on the network.,male
"No matter the results, words can't express how proud I am of @csunfasa! All the dedication these new &amp; old members gave left me speechless!",female
I took so many selfies this weekend it'll take ages to post them all! Let's start with the GermanÛ_ https://t.co/U6OVthw34k,female
New on eBay: vintage star wars Working millenium falcon Complete &amp; With Box And Instructions https://t.co/oPnN2WUh2V,female
"And baby, no one else makes me feel like you.",female
@Caspar_Lee I'm literally so happy it's my birthday and your video is up so happy_Ù÷__Ù÷È_Ù÷__Ù÷È_Ù÷_,female
"Met the guy in less than a month ago and he's already sending me links to choose a car ""for us"". Which way is the exit?",male
Manchester Derby - å£500mill of talent dished out a snooze fest and 2 shots on goal. Where was the passion of a Derby Match ?,female
@TeamPrinceN the options should b Mandana n Prince instead of digangana n prince,female
One of the all time most concise explanations of ideology:   https://t.co/5eiXfjebI0,male
...I've done ball throwing on the sand today - what's my Monday been like ? #Busy https://t.co/76lXBxy06v,male
Have you ever thought of someone and just got heart eyes? _ü,female
My mom had my dad on speaker and he just ruined the suprised they had for me and Its my car _ÙÕÛ,female
@SW_Trains Bit too late for the lady w/ teen in wheelchair unable to get on @reading_buses 3 service due to crowding: next bus was in 1hr.,male
@ImALegendKiller @fangirlnextdoor I'm thinking more and more he's alive. That's not how he died on the graphic novel but that means nothing,female
@kevberto @cesarhfutbol about $300k in allocation money and he'll be in Chicago _Ù÷_,male
"Being in the friend zone really is a great thing, just keep at it and she will eventually come around",male
"@Harry_Styles always remember, never forget you're the best and the greatest in the world just being you always you till the end of time YOU",male
Blargh. Battlefield 3 was inferior to 2 and Enemy Territory Quake Wars in every way. @Mischief_Rises,male
why is the Ultimate Goal to get married and have kids,female
If someone tells me I have great energy I don't care.  Plz give me a chart and some parameters?,male
Lrt // something like that happened with me at school and I still don't really forgive those bitches for this,female
"2 tests, 2 training calls, plus law and regulations revision. A Monday full of fun for me _Ù÷«_Ù÷«_Ù÷«",female
What in the world is a shadow bank 121 classmates halp,female
It's going up this week!!! It's almost time for the Power Premiere and Bday TurnUp!! Collecting warmÛ_ https://t.co/IpygosHXL1,male
hi The_French_One #NominateToriKelly #MTVEMA,female
I just earned the 'Fruits of Your Labor (Level 2)' badge on @untappd! https://t.co/2fMmINI5eL,female
Riparian tree cover as refugia https://t.co/wVl14k4QeG,male
Come out and party with me for the GRAND OPENING of #KabinSundays                                TextÛ_ https://t.co/3QY1cuPzFr,female
Hot chocolate and shortbread cookies before work _Ù÷Î,female
WHO BUILT THE #PYRAMIDS??? WHY WERE THEY #BUILT AND WHATS  THEIR #PURPOSE RIGHT NOW?  ....#light_questionZ,male
and pay enough tbh https://t.co/jaYAK983Cx,male
@daniel_dudley Shocking and sad :( #MIS2015,male
Having a power cut made me go outside and realise the beauty I sometimes miss _ÙÕ_Ù__Ùâ_Ù_ÙÄ #leaves #autumnÛ_ https://t.co/Doyuau9C58,female
It's the time to get up and start over no matter what will happen as long as u determined to reach ur goal.,male
Even if that's true (doubtful) how does it change the fact that you use #stoprush to harass them and they responded negatively @socallks ?,male
I'm going to be here a while... the temptation to order a dominos is almost overwhelming.,male
Ali is not going to hold any grown ass person by the hand from point A to point B. You have a brain. Use it.. https://t.co/0gtC3p7YMC,male
"Watch ""HOMOSEXUALS ARE IN CHARGE OF THE CHRISTIAN CHURCH - ISUPK CHICAGO"" on YouTube https://t.co/WGgheyKoKA",male
@reneegraziano my boyfriend and I were the ones who held the door open for you :),female
@recognize_cj no I was in park and pressing on the gas to warm my car up in the morning and out of no where my engine sounded like it was,female
I'm playing WordBrain and I've just reached brain size 195! #WordBrain  #words,female
humous and party rings do not taste good together I repeat humous and party rings do not go,female
AW And Chill - Enjoying The Tunes :3: https://t.co/1YgKhJq76M,female
Britain quoting Jack Handy? And I didn't think I could love him MOAR.  https://t.co/n0Bi96c0YL,male
@larrypurgatory 22 de novembro @onedirection Artist Of The Year #AMAs,male
@eeprim you're the worst kind of person,female
@camerondallas I just got my new phone and it's already full of your pics people say I need to get a life I obviously don't since I'm alive,male
I ask @itscaseynicole where we're going out for her 18th and she says 'wherever just as long as we have the best time ever' _Ù÷â too cute,female
"Tolkien-notated Middle-earth map found in copy of 'The Lord of the Rings': An illustrator's personal copy of ""... https://t.co/a3xwsacC5k",female
Come on out and have a great time with us!! https://t.co/79Ljy0puSz,female
"And I asked every book, poetry and chime
""Can there be breaks in the chaos of times?""",female
"And the final. The piece was painted from a recent sketch, the idea is for you work out, cause I have no idea _Ù÷ _Ù÷â Û_ https://t.co/Kov9Rq6uKq",male
"ÛÏApparently the sarcasm isn't taken. Yes, I was sarcastic.Û @LadyStyleDMC",male
@bosshog221 work in progress nearly there. You think brining a new coach in won't hurt the program for 2 or more years? Recruiting and fans?,male
Voltemos a votar escravas @onedirection Artist Of The Year #AMAs,female
I have the best bf _Ù ,female
Thanks for the recent follow @raaaafay @AndyWalaBurger Happy to connect :) have a great Tuesday. (insight by https://t.co/AbCrGuHblL),female
"IT HAS BEEN LESS THAN 5 MINUTES SINCE I LAST LOOKED AT THE CLOCK. 

THAT'S NOT POSSIBLE",female
"it doesn't produce radicalism but, rather, mutes protest and work. there are receipts.",male
Adele has the most powerful voice,female
"The @USDOL has issued new guidance to offer ""green"" investing strategies https://t.co/z34oh6X5R4 https://t.co/mKFOZuND0n",female
Stats for the day have arrived. 1 new unfollower. Stats via https://t.co/Y0X7NEDMXZ.,female
"EVERYDAYILOVEYOU Forevermore

and what makes it last

#PushAwardsLizQuens",female
OH and if anyone really thinks that walking into people in the hallway and HITTING them with a purse is tough and funny check yourself :),female
she always with her man _Ù÷¢_Ù÷¢_Ù÷¢ and i jus be there with my dog,female
@tamdeanburn @IrvineWelsh @UKLabour Its still effective and avoids a massive Parliamentary backlash that could have done more harm than good,male
I Just Voted for @onedirection for #ArtistOfTheYear Go Here https://t.co/T4ZURfMYYH and Vote for your favorite!  #AMAs #OneDirection,female
"@Wescreamfour Crush, C4, youth elite, ladies of teal, senior elite, lady elite and coed elite _Ù÷_Ù÷_Ù÷_Ù÷_ÙÔ_ÙÈ",female
You can make excuses or you can chose to be the exception. #strive,male
remember when i screamed and started crying bc same  https://t.co/OWGvlza1nd,male
"@CFBAlbert I was thinking the same thing earlier! lol I'm gonna give it a shot probably tomorrow, thanks! _Ù÷_",female
"""If failure were celebrated more, I believe the world would be a magical place."" via @danemaxwell",male
I'm really sick and it's horrible,female
"Mike drop by @fadoobobcat to a caller ripping too much @bluejays coverage ""you're and idiot, good-bye"" #classic",male
@ImTooCold_ it always feels good to be missed and appreciated _Ù÷Î,female
@Kat_Nikohl they need the sales lol,male
The Impudence of Rabiu Kwakwanso and his Fulani brothers - by FFK: Written by Femi Fani-Kayode...Read below..I... https://t.co/MWL2u3awRL,male
Empty pockets never held anyone back. Only empty heads and empty hearts can do that. ~ Norman Vincent Peale,female
Khamenei compelled to approve nuclear deal paves way for future violations and stonewalling https://t.co/lRpFwLheKF #Iran #IranDeal #UNSC,male
Business and Pleasure...... ªÈü lorita_regina| #BernieAndDuff | #TrinidadCigars https://t.co/nhDEGzVzem,male
The dude in the truck beside me is singing the lyrics and and totes jammin' to the same song I am,female
We're all wondering the same about you though?,male
I couldn't feel anymore like a stereotype today; I have on a vest and Ugg boots I'm drinking a Starbucks coffee and I just got my nails done,female
"I guess the only way to get famous now a days is to go to Africa and shoot a beloved animal. 

*Buys an airline ticket and packs rifle",male
Retweet and follow everyone who retweets my countdown tweets to gain more ( turn my notifs on too )_Ù_«,male
I scored 1/5 in #CokeCoutureTrivia on My Coke Rewards. Test your Coca-Colaå¨ fashion knowledge at https://t.co/TNnTuUT7vm.,male
Make sure to follow my friends at @totalbodyonline and visit their website https://t.co/kxBsT9xiEN,male
It's unconscionable to pay 22k Teaching While Poor: #Adjunct Professors and the Fight for Fair Wages via @thenation https://t.co/1yTXrpT8M6,female
If I was in O'Brien's presser I'd ask why he was running Arian Foster in the fourth quarter of a blowout loss... #texans,male
@Grant_74 just a bit of gauze to stop birds nicking the seed,male
"#Reverbnation Get 10,000 video plays, song plays and views! increase chart position! in as little as 2 days! https://t.co/E8anuoHyzQ",male
And in that moment he knew - things would never be the same again.,male
@Andy_The_Avgeek @HelenTodd3 @Sir_Carlos89 Sylvie Guillem and Anna Pavlova _Ù_Ò_ÙÔ,female
"Hey @Harry_Styles! Thank you for being a precious and genuine person, for your big heart of gold! Would you mind following me? :D x230,301",female
"Hii @Harry_Styles
How was your day? You deserve 
all the happiness, thank you 
for your kind and caring heart.
Mind following me?
-30.697",female
"""I noticed some of you didnt attend the optional 9am workshop last week"" https://t.co/12fesCmEJQ",male
"THE FLEETWOODS- "" COME SOFTLY TO ME "" favorite song forever _ÙÕ¥_ÙÕ¥_ÙÕ¥ https://t.co/CzTjs9Ma5u",female
but what i just really hate is the fact that they left me at 13 yrs old to do every homework and study every test on my own,male
Good rhythm from Lens already - Autret's outside of the boot cross nearly found Chavarria. Great technique!,male
#mcm goes out to my one and only _ü_ü_ü @realeliascarr,female
"Those who break the rules are scum, but those who abandon their friends are worse than scum",female
@donnariguero 2 months till I'm home and get to see you _ÙÕÏ_ÙÕÏ_ÙÕÏ,female
Police upset technology means their dirt is now exposed for the world to see,male
"@d0ubleshad0w dammit
WooooOOOo
Today was my least productive day ever and it's only going to get worse tbh",male
"Emma Watson to 5 year old boy: Excuse me, are you Harry Potter? ThatÛªs great, because IÛªm Hermonie Granger and weÛªrÛ_ https://t.co/C47cbrLZBI",female
thanks for your tweet about safe and sound I loved it  https://t.co/MWopCUtpec,female
Selling my PS4 with battlefield and GTAV already installed on it make me an offer,male
And with the addition of shrimp and snails I'm officially the weird kid with creepy dorm pets.......where did I go wrong?,male
Let's embrace the point of no return,female
HONESTLY I am so fed up with people invalidating mine and other people's identities just because they don't conform to gender norms,male
"In the great Fiction vs. Non-fiction Writing Debates, the former definitely wins in terms of ease of doing at airports.",female
i feel sick for some reason and idk why ;;;;;;;;,male
Bet I woke up from my nap for nothing and we don't even have class today,female
KPMG_US: Triple the likelihood of successfully controlling IT costs by holding a C-level exec accountable #RunITAsÛ_ https://t.co/NRQxhU93Zs,male
"@Javierciurlizza ""On drugs, Latin American countries have tried everything, including the 'iron fist' approach without success."" #FALive",female
@tambourine yesss i've played it and loved it!,female
The taxi hap solicitor other yours collateral: iLgFUeX https://t.co/NLeFcwSTWn,female
it's one of those episodes that makes you think that you regret being a fan but then you still love the show nonetheless,male
"Knowing yourself is the beginning of all wisdom. 
Û¥ Aristotle #quote",male
@BritainFirst you can never win. They're supporting those fighting against ISIS. You and your party are nothing but deluded!,male
nah fam they all left because of really bad injuries and discrimination so you can leave  https://t.co/br93kSrpaP,male
@VueHelp Hey I booked tickets to watch spectre tnite @ the Imax. Called to confirm because I didn't get an email... 1of2,male
"I need like $40,000 and a boyfriend",female
"I'm off tomorrow, and so is my barber. Pissed",male
@chIomurphy the biddies need me,female
"I will sing of mercy and judgment: unto thee, O LORD, will I sing. 
Psalm 101:1.  https://t.co/FYXFssXQ7z",female
@thomasmlambo the league will end in a draw then the telkom will beat chiefs Eramus will to good for those slow central defenders of Chiefs,male
.@SkySportsNFL the vikings are 4-2 playing well and we're yet to see them live this season their game @ rivals the bears should be on Sunday,male
@Brickwares DM me. I'll ignore the @Arsenal ref,male
@ashleyclivery British Home Stores and Vicky Centre in the footage!! _Ù÷â,female
"@hestiahdruid it was on the news back in 2010 or 2011, some AIDS/FIV researchÛ_ :)

https://t.co/PB9GJP4FWN",female
But Collyn and I made a cute pumpkin https://t.co/sFueaEdrGz,female
its only 3:40 on monday after noon and i already want it to be the weekend :(((((,female
Robert Walker And The Soul Strings - Stick To Me (RCA Victor - 47-9304 - 1967) https://t.co/GVRR88DKFW,male
@arch_369 I wanna get it started and finished tomoro then prototype my flash game and then get the graphics started for it.,male
"""yes na it was known in s1 @FinallyVeevy: Now into season 3 and I still haven't quite figured it out. Is Reddington Liz's father?""",male
king and queen https://t.co/kcbnlXfGbG,female
Hate when you have earphones really loud and its class but when the song changes you get a few seconds of some nippy fucking buzzing sound,male
"T2: barriers to change in no order:
Leadership deficit 
Lack of resource 
Political and economic factors 
Skills
Planning 
#CommsChat",male
Hello from the other side,male
On this @Ogshon &amp; @__mozes ! Def up next!!! listen to this track and I dare you to disagree-&gt; https://t.co/8lg4TQ5n4b,female
Me and The Goodmen Going Fuck Flowers Homecoming Up. _ÙÕø_ÙÕ»,female
That's how I like my soup: chunky and packed with veggies. Add some avocado as a garnish and it'sÛ_ https://t.co/wRwSSDZEA2,female
red lips and rosy cheeks,female
@NBA to play the greatest game #ThisIsWhyWePlay #Sweepstakes,male
@linzsportsit with the exception on @janesports and @cbrennansports the sports reporters I follow have been quiet which is disappointing.,female
"@ProducerKen 

Misunderstanding... We in America deserve the same sort of opportunity. It's okay he got the loan.

Make sense?",male
I have developed trust issues with guys that ghd and blow dry their hair #capetown #salon,male
Climate researchers are alarmed about the future of the Persian Gulf's climate: https://t.co/zNpzzwsV7A https://t.co/dJz8sO2swp #ForbesTeÛ_,female
@iBhootFAN Its Tabi and bingu means crazy lmao! Yeah I am totally serious _Ù÷â,female
Get 1000 plays for all your #soundcloud and #reverbnation track's or songs be seen as a top artist. https://t.co/apEr9hw6JU,male
"@me0wzerz oh hell no I wish _Ù÷â I'm tie dye talented, but not that talented, I might attempt to make one, but this is just the one I want",female
@samesfandiari they can win 54 and be the 1 seed,male
@anniefinn I get excited when I've no 5.45am session in the morning and get to lie in til 6am!,male
"By the end of the day i'll prob block a bunch of random spams that follows me since 3 days ago, cuz it's weird",female
glenn's gonna crawl under the dumpster or inside it or back on top or something like that,female
"Cooking up a storm to take to visit @plumble_bee tomorrow - soup, focaccia and banana toffee cake!",female
when ya dick and ya dms are dry _Ù÷©,male
where's mady?? her ocd needs to kick in &amp; come over and clean my room _Ù÷_Ù÷_Ù÷_Ù÷_Ù÷,female
Videos of dreams and pictures of food though......,female
The cookies look amazing _Ù÷ã,female
"@AliAyashh @mhmoud_95 @LamaRahhal @MartiaIAnthony Players come and go, esem lfari2 howe le bedal w if he cant serve the team allah ma3o",female
"@DailyMailCeleb @DailyMail @piersmorgan So Piers is homophobic and misogynistic. Sorry, progressives' rules. So, nice job.",male
When ur sad and your friends make you food _ÙªÄ_ÙÕ¥,female
"@me_on_average I try and avoid it, too much like hard work _Ù÷â",male
"@vitt61, an @HarvardHBS classmate w/ high #ESG rating via @HarvardBiz assessing #ethical #leadership https://t.co/VwcKQwuC3V #Vodafone",female
I Just Voted for @onedirection for #ArtistOfTheYear Go Here https://t.co/YmYJAPyvNk and Vote for your favorite! _Ù÷_,female
still sad that there was no clip about the hyperion gift shop,male
@Shania_Iranii ILY _ü_ü_üand thank you for setting me up with Jordan and nick,female
A Flash of Light: The Photographs of E.J. Kelty - Will Kelty | Classics |808897125 - See Kelty (company)... https://t.co/U145nW3k7I,male
Prince just joined Instagram and he can't stop posting selfies https://t.co/j7NLL7B429 #ROIMentor,male
Nathan Baker should stop skipping leg day and he might not get injured so much!,male
Dear @northernrailorg if you can make the 19:46 train from Piccadilly to Flowery field depart about 3 mins late I will love you forever!,male
@peta just shut the fuck up for like 2 seconds  https://t.co/6QjhSEJ0j1,male
@michaeljwaldron Both showings sold out and massive queue already ;-),female
This lady say my name in every sentence when talking to me and say it a different way each time _Ù÷Õ,female
Dude .. this is YOUR specialty...+ I can't speak for the men.. and your MY reference... so.. deal!!!  https://t.co/DMRwM8HpZ1,female
Having slight feelings for people you shouldn't is the worst,female
*drinks 1 cup of green tea* *pees 15 times in the following 30 minutes*,female
"@VibeEntGrp are proud to present Vibe Hull and Vibe Birmingham, hit @deyemi_a for more details https://t.co/pDx9M9S3xM",male
La quick-lunch counter chaw all off admission fee weazen library adds demeanor preciousness until the cookshack:Û_ https://t.co/fVmjNwOmq0,female
"Hello twitter world, Its been an year and not much has changed here #2015tweets #tweetfleet",female
"I remember Chris put on a meek song and I just looked at him and he was like ""COME ON BRO"" _Ù÷â_Ù÷â_Ù÷â_Ù÷â_Ù÷â_Ù÷â_Ù÷â_Ù÷â_Ù÷â_Ù÷â",male
I have to say I've had an amazing weekend Harry Potter studios and legoland rolled into one =done in https://t.co/3wuITlCzL2,female
Just got so drugged up at the dentists that I can't even talk,male
"@JPollock1996 As someone on Question Time said, ""Wales is now a third world country, make Stephen Crabb the leader and scrap the Assembly"" _Ù÷â",male
@eatlikeagirl we bring back fresh tomatoes and onions and tins of ventresca and anchovies. Oh and HAM!,female
My car in the shop. You gotta pick me up Bae,male
--difference between me and Krul and I though you already knew about it. The thing that you compared me to her is insulting.'' { @IestKarr },female
"The search for happiness is one of the chief sources of unhappiness.  ~Eric Hoffer, The Passionate State of Mind, 1954",female
I love my kids _ÙÔ¤_ÙÔ__ÙÔ¦ they are the ones that keeps me from going to prison _Ù¢_ÙÓ¬ for a 100 years,female
"@GotCush Good luck tonight, you'll do #swaggy and everyone will #witness what a #blessed performance you'll give. #swaggy #witness #blessed",male
@rachaelfisher02 @jamesEdwards111 come to mine before James and we will get it done before?,male
@tellahtruth into poverty. We need to focus on the bad to find ways to be rid of it.,female
"_Ù÷__Ù÷__Ù÷_ 
""@SoVeryBritish: ""I'm not quite sure I follow"" - Translation: The bloody hell are you on about?""",female
@angee_moinette oh yeah !!!! And he still has that radio for help,female
I really wanna go to the pool &amp; swim laps to bad the pool is 30min from my house :((((,female
"She's a scar, she's the bruising, she's the pain that you brought
There was life, there was love
Like a light and it's fading out #vote5sos",male
@DaynaChirps That's a great point. Thanks for the reminder. #contentchat,female
"Duvet, Ben and jerrys, scary movies. Life made! #unilife #flatmovie TURN THAT LIGHT BACK ON! _Ù_Ä @TweetYourScream",female
"EVERYDAYDAYILOVEYOU Forevermore
Weep with the heroineÛªs desperation.

#PushAwardsLizQuens",female
"@MinaLioness Na me neither, it might just be a stab in the dark to try to explain how cancer has increased so much over the last 100 years",male
@TylersVoice2You I'm doing ok.  How are you? Yea I remember that. I'm glad you're getting it. It's a crucial thing to have seeing the world,male
@LukeIsASequin they're out of Luke's cover and only 1 Ashton cover is left.,male
Jews are challenging the 'status quo' at a Jerusalem holy site https://t.co/SmulEaDqdx via @bi_contributors,male
Congrats!!! Enjoy the GC and new phone!!! @thedomesticexec @dmthoma #TreatYourFamily,female
"#Life Build a Transforming Workbench, Desk, and Storage Unit: If you donÛªt have a lot of space, you need to ma... https://t.co/RqtT7sizdH",male
Love and basketball is the best movie ever,female
"#Holidays, #travelexpert advice and more... https://t.co/SnJWUZ8OX0 .Will be great to have you aboard! #FBLikehour https://t.co/IE4T4FBF8u",male
"You would fuck a bitch niggas for the fame, won't you? You would give that pussy up to a lame, won't you?",male
"They should, in fact, be locked up &amp; the key thrown away. https://t.co/gABL7oovIt",male
the dog and the car _Ù÷È #cargoals #lifegoals #LandRover _Ù_ª https://t.co/blBsRHbk10,female
The world is mean enough to kills someone deeply inside,male
"Margaritas and #GTAOnline, here I come!",male
Me 100% of the time https://t.co/sFvqJvE4P9,male
Mine will be about 3 weeks then @Elliott_The_Kid _Ù÷â_Ù÷â https://t.co/79MfqwYtFg,female
how do you tell someone you apparently love them and need them but then fuck someone else.. lololol,female
"Awesome cover of ""Lead me out of the Dark"" via #Smule: https://t.co/LHP87N3O2j #SingKaraoke",male
@Shion561 @FedYourPony copy and paste this character: https://t.co/I938boiC0T in front of the start of the tweet to get spaces not stripped,male
you can't retweet something and expect straight A's. Work for it,female
Its that time in texas where you have to dress for winter in the morning but summer in the afternoon.,female
Finally got my trainer hat and name tag and now all the new ppl have to listen to me,male
The boys manners came out letting girls get food first,female
"The term ""copping pleas"" will forever be funny to me",male
I said from the beginning we were going all the way and it was a completely unbiased prediction. I just knew the talent we had before.,male
"Kyoto and more sightseeing guide photos, book hotels and learning Japanese https://t.co/J2xdVkFMug #Ýü¼ÕÄ¥â©Ä_Ä_ ¾_ÒÀ_",female
The creeps again @CocoM2Z  https://t.co/8ZTKJXOn8v,female
"Hey, I found this really awesome Etsy listing at https://t.co/CWoEln9VBD",female
@henrydampier Rock the vote.,male
bear doll walking away on its arm and leg with the other leg walking away like it's the head. ok,male
"I am home....I had to go over the person's house for the group work it was a double whammy seeing he had a dog and smoked, can't stand that",male
@best_of_season and whilst im being fucking 4v1'd in my own lane whilst the shitty rubick feeds the rest of the team is dying to TOWERS,male
@Emmettmcdaid1 can't chat anymore Daniel and majellas road trip itv _ÙÔ,male
"Munchie Mouse needs your help! Voting has begun, and I so want this little story to become a reality. Likes and retweets count, too!",male
@thummprints @holly_faur @a_goodnight I thought it actually showed the guard opening the note.,female
"@CazzieWoj @ambersutcliffe lol not attendin a few lectures and refusin to get out for fire alarm, Leeds massive now",female
We didn't leave the tower at all last night once we got in there and started dancing,female
"Depression comes when you least expect it, like the shittiest person planning a surprise party for you 6 months after your birthday.",male
FINALLY going to the gym_Ù÷_,female
Cooked myself the nicest dinner_ÙÔÎ,female
